,age_cat,priors_count,two_year_recid,race_cat,gender_cat,charge_cat,length_stay
1,0.5,0.0,1,0,0,1,0.5
2,0.0,1.0,1,0,0,1,0.0
6,0.5,1.0,1,1,0,1,0.0
8,0.5,0.0,0,1,1,0,0.0
9,0.0,0.5,1,1,0,1,0.0
10,0.5,0.0,0,1,0,1,0.0
11,0.0,0.5,1,0,0,0,0.0
12,0.5,0.0,0,1,1,0,0.0
13,0.5,0.0,0,0,0,1,0.0
14,1.0,0.5,1,1,1,1,0.5
15,0.5,1.0,1,0,0,1,0.0
17,0.5,0.5,0,0,0,1,0.0
18,0.5,1.0,1,1,0,1,0.0
19,0.5,1.0,1,1,0,1,0.0
20,1.0,1.0,1,0,0,1,0.0
21,0.0,0.5,1,0,0,1,0.0
22,0.5,0.0,1,1,0,0,0.0
23,0.0,0.0,0,1,1,1,0.0
25,0.5,0.5,0,1,0,0,0.0
27,0.5,1.0,1,0,0,1,0.5
28,0.5,0.5,0,1,1,1,0.0
29,0.5,1.0,1,0,0,1,0.0
30,0.5,0.0,1,0,0,1,0.5
31,0.5,1.0,1,1,0,1,0.5
32,0.5,1.0,1,0,0,1,0.0
33,1.0,0.0,0,1,0,1,0.0
35,0.5,1.0,0,1,0,0,0.5
36,0.5,1.0,1,1,1,0,0.5
37,0.0,0.5,1,1,0,0,0.0
38,0.5,1.0,1,0,0,1,0.5
39,0.5,0.0,0,1,0,0,0.0
40,0.0,0.5,0,0,1,1,0.5
41,1.0,0.5,0,0,0,0,0.0
42,0.5,0.5,1,1,0,0,0.0
43,1.0,1.0,0,0,1,1,0.0
44,0.5,0.0,1,0,0,1,0.0
45,0.5,1.0,1,1,0,0,0.0
46,0.5,1.0,1,0,0,1,0.0
47,1.0,0.0,0,1,0,0,0.0
48,0.5,1.0,1,0,0,0,0.5
49,0.5,0.0,0,0,0,1,0.0
50,0.5,0.5,1,1,0,1,0.0
52,1.0,1.0,1,1,0,1,0.5
54,0.5,1.0,0,0,0,1,1.0
55,0.0,0.5,1,0,0,1,0.0
57,1.0,1.0,0,0,0,0,0.0
58,1.0,1.0,0,1,0,1,0.5
59,0.5,1.0,0,0,0,1,0.0
60,1.0,1.0,1,0,0,0,0.5
61,0.5,1.0,1,0,0,1,0.0
62,0.5,1.0,1,1,0,0,0.0
63,0.0,0.5,1,0,0,1,0.0
64,0.0,0.5,1,0,0,1,1.0
65,0.5,1.0,1,0,0,1,0.5
67,0.5,1.0,1,0,0,1,0.5
69,1.0,0.0,0,0,1,0,0.0
72,0.5,0.5,0,0,0,0,0.0
73,0.5,1.0,1,0,0,1,0.0
74,0.5,0.5,1,1,0,1,0.5
75,0.5,0.5,0,0,0,1,0.0
76,0.0,0.5,1,0,0,0,0.5
77,0.0,0.0,0,1,0,1,0.5
78,0.5,0.5,1,0,1,1,0.0
79,0.5,0.5,1,1,0,1,0.5
80,0.5,0.0,0,0,0,1,0.0
81,0.5,0.5,0,0,0,0,0.0
82,0.5,1.0,1,0,0,0,0.0
84,0.5,1.0,1,0,0,1,0.0
86,0.0,0.5,1,0,0,1,0.5
87,0.0,0.5,1,0,0,0,0.0
88,0.5,0.5,0,0,1,0,0.0
89,0.5,1.0,1,0,0,1,0.0
90,0.5,1.0,1,1,0,1,0.0
92,0.5,1.0,1,1,0,1,0.0
94,0.0,0.0,0,1,1,1,0.0
95,0.5,0.5,1,1,0,1,0.0
96,1.0,0.5,0,1,0,1,0.5
97,1.0,0.0,0,1,1,0,0.0
99,0.0,0.5,1,0,0,0,0.5
100,0.0,0.5,0,0,0,1,1.0
101,0.5,0.5,0,0,0,1,0.0
102,0.5,0.0,1,1,1,1,0.0
103,0.0,1.0,1,1,0,1,0.5
104,0.5,0.0,0,1,0,1,0.0
105,0.5,0.0,0,1,0,0,0.5
106,0.5,0.5,0,1,1,1,1.0
107,1.0,1.0,1,0,0,1,1.0
108,0.5,0.5,0,1,0,1,0.0
109,0.0,0.5,1,0,0,1,0.0
110,0.5,1.0,1,1,0,0,0.0
111,0.5,0.0,0,1,0,1,0.5
112,0.5,1.0,1,0,0,1,0.0
